ID,Term,Original Score,Adjusted Score,Average Adjusted By User ID,Confidence,Explanation
1,Accessible,0.8,0.8,0.68,High,"The term 'accessible' is typically associated with something being easy to understand or deal with, which is a positive sentiment."
,Fun,0.9,0.9,,High,"'Fun' generally conveys a strong positive sentiment, suggesting enjoyment and pleasure."
,Stimulating,0.8,0.8,,High,"'Stimulating' means to encourage interest or excitement, its strong positive sentiment comes from its association with intellectual or emotional arousal."
,Straight forward,0.7,0.7,,High,"'Straight forward' indicates something easy to understand or simple, which generally carries a positive sentiment."
,Time-consuming,0.2,0.2,,Medium,"'Time-consuming' carries a somewhat negative sentiment, as it is typically associated with tasks that take a long amount of time and could be perceived as tedious."
2,Accessible,0.8,0.9,0.9,High,"In this context, the term 'accessible' is used to refer to an approachable learning environment signifying a positive sentiment. After taking its context into consideration, its sentiment score is increased to reflect its more positive connotation."
,Appealing,0.8,0.9,,High,"The term 'appealing' carries a positive sentiment. In this context, its sentiment score is boosted as it is being used to describe a positive deviation from a typical lesson structure."
,Fun,0.9,0.95,,High,"The word 'fun' is generally very positive. In this context, it describes elements of an enjoyable project, which further amplifies its positive sentiment."
,Inviting,0.75,0.85,,High,"Initially, 'inviting' has positive sentiment indicating attractiveness or interest. Its score is further increased in this context, where the project is described as stimulating and engaging."
,Stimulating,0.8,0.9,,High,"'Stimulating' carries positive sentiment. The word is used to express a genuine interest and engagement in the project, which enhances its positive sentiment."
3,Customizable,0.7,0.8,0.7,High,"'Customizable' typically signals flexibility and adaptability, which carries positive sentiment. In this context, it defines a unique, engaging assignment, increasing its positive sentiment."
,Personal,0.65,0.75,,Medium,"'Personal' can have varied sentiment depending on the context. In this case, it describes a competitive, engaging assignment, lending it a more positive sentiment."
,Stimulating,0.8,0.9,,High,"'Stimulating' carries a positive sentiment. The context refers to an engaging and thought-provoking task, enhancing the word's positive sentiment."
,Unconventional,0.6,0.7,,Medium,"'Unconventional' carries a moderate positive sentiment as it could refer to unique or out-of-the-box scenarios. In this context, it refers to an engaging and exciting method of instruction, boosting its sentiment score."
,Unpredictable,0.4,0.35,,Medium,"The initial sentiment of 'Unpredictable' is neutral and a bit negative due to the uncertainty it implies. After the explanation, it is slightly adjusted down because the unpredictability relies on the participation and interest of the students, which can lower the predictability and control of the situation."
4,Accessible,0.8,0.85,0.88,High,"The sentiment of 'Accessible' is positive, and it's further emphasized after the explanation as it mentions the project is organized well for the skills level which also adds to its accessibility and ease of use."
,Comprehensive,0.7,0.75,,High,The word 'Comprehensive' carries a positive sentiment illustrating the broadness and thoroughness of the project. The sentiment is bumped up slightly after the explanation since it mentions that the project required a deep understanding of skills learned to this point.
,Fun,0.9,0.95,,High,"The word 'Fun' definitely carries a strong positive sentiment, it shows an enjoyable process. The explanation further boosts the sentiment, describing the project as one of the favorites in their studies."
,Useful,0.9,0.9,,High,The word 'Useful' has a significant positive sentiment as it implies practicality and functionality. The sentiment remains the same after the explanation as it confirms that the project solidified the user's understanding of techniques used in software development.
,Valuable,0.95,0.95,,High,"'Valuable' strongly suggests positive sentiment as it implies worth and importance. The sentiment remains strong after the explanation, which simply references the previous 'Useful' description."
5,Appealing,0.85,0.85,0.73,Medium,'Appealing' has a strong positive sentiment implying an attractive or pleasing quality. There's no provided context to adjust the sentiment.
,Customizable,0.8,0.8,,Medium,'Customizable' possesses positive sentiment as it infers the ability for personalization and adaptability. There's no given context to adjust the sentiment.
,Fun,0.9,0.9,,High,"'Fun' again, implies a positive sentiment denoting enjoyment and pleasure. There's no explanation to make an adjustment on the sentiment."
,Simplistic,0.7,0.7,,Medium,'Simplistic' carries a somewhat neutral to positive sentiment implying something straightforward or lacking in complexity. There's no explanation provided to adjust the sentiment.
,Unpredictable,0.4,0.4,,Medium,"Already discussed above, 'Unpredictable' has a neutral to slightly negative sentiment due to the elements of uncertainty. No given context to adjust the sentiment."
6,Complex,0.35,0.3,0.19,Medium,"The sentiment of 'Complex' is somewhat negative due to the difficulty it usually implies. After the explanation, slightly lower due to the further complexity brought about by using a particular software."
,Frustrating,0.15,0.1,,High,"'Frustrating' carries a significant negative sentiment, implying distress or irritation. After the explanation, the sentiment is confirmed and slightly lowered by the unsatisfactory experience."
,Hard to use,0.2,0.15,,High,"'Hard to use' has a negative sentiment due to its implication of difficulty and lack of user-friendliness. After the explanation, the sentiment decreases as it confirms the difficulty, exacerbated by software issues."
,Stressful,0.2,0.15,,High,"'Stressful' carries a strongly negative sentiment which implies tension or pressure. After the explanation, the sentiment is decreased due to the explanation of various difficulties causing stress."
,Time-consuming,0.3,0.25,,Medium,"'Time-consuming' has a negative sentiment as it suggests an activity taking an excessive amount of time. The sentiment decreases after the explanation, confirming a long duration of time used to navigate through the tasks."
7,Fun,0.9,0.95,0.9,High,"As discussed, 'Fun' carries a strong positive sentiment. The sentiment becomes more positive after the explanation confirming a competitive, motivative and enjoyable experience."
,Relevant,0.75,0.8,,High,"'Relevant' carries positive sentiment suggesting the usefulness or applicability. After explanation, the sentiment slightly increases as the project is confirmed to apply knowledge from the course."
,Stimulating,0.8,0.85,,High,"'Stimulating' has a positive sentiment that implies excitement or interest. The explanation confirms this feeling of engagement, thus the sentiment increases."
,Useful,0.9,0.9,,High,"As discussed earlier, 'Useful' carries a strong positive sentiment. The explanation confirms the sentiment revealing a learning experience from the project."
,Valuable,0.95,1,,High,"'Valuable' already suggests a strong positive sentiment as it implies worth and usefulness. The sentiment is intensified after the explanation, pointing out the usefulness of the gained knowledge for future academic and career paths."
8,Comprehensive,0.8,0.9,0.92,Medium,"The sentiment was initially positive, but because the statement describes a thorough process, the sentiment increased a bit."
,Customizable,0.9,0.95,,High,The sentiment is very positive due to the user's agency in controlling features and is slightly amplified by the explanation's context.
,Exciting,0.95,0.95,,High,"The sentiment is highly positive as it shows enthusiasm and excitement, which isn’t changed by the explanation. "
,Fun,0.9,0.9,,High,The sentiment is highly positive indicating enjoyment and it remains the same even after considering the explanation. 
,Valuable,0.85,0.9,,High,"Initially, the word has a positive sentiment, and it increases slightly given the fact that the experience is perceived as beneficial for education."
9,Complex,0.65,0.5,0.54,Medium,'Complex' has a slightly positive sentiment score but it decreases after considering the context of explaining a challenging situation. 
,Comprehensive,0.8,0.85,,Medium,Initially positive but increased slightly since the explanation suggests a wide coverage of learning throughout semester.
,Confusing,0.3,0.2,,Low,Although 'Confusing' usually suggest negative sentiment which slightly drops in the given context. 
,Fun,0.9,0.85,,High,"Though initially very positive, the score decreases slightly as the explanation highlights overcoming challenges. "
,Time-consuming,0.4,0.3,,Medium,"Initially, 'Time-consuming' has a negative sentiment and it decreases a bit because the project needed better initial planning. "
10,Collaborative,0.85,0.9,0.69,High,"'Collaborative' shows positive sentiment initially, which increases slightly with explanation showing mutual help. "
,Complex,0.65,0.55,,Medium,'Complex' initially has a slightly positive sentiment but it decreases as the explanation refers to a complicated task. 
,Intimidating,0.3,0.25,,Medium,'Intimidating' has a negative sentiment and it decreases a bit from the explanation suggesting menace. 
,Relevant,0.8,0.85,,High,'Relevant' has very positive sentiment which increases a bit after the explanation suggests good fit to students' interest. 
,Stimulating,0.85,0.9,,High,Positive sentiment increases slightly as the explanation shows a requirement for serious thinking. 
11,Customizable,0.9,0.95,0.83,High,Very positive sentiment is raised slightly due to the author's emphasis on the capability of choosing best strategy.
,Empowering,0.8,0.9,,High,Empowering typically has a positive connotation and its context where it helped the person gain confidence further amplifies its positive sentiment.
,Overwhelming,0.3,0.5,,Medium,"Overwhelming gerenerally carries a negative sentiment but the explanation associates it with difficulty of understanding the program, making it slightly more neutral to positive."
,Stimulating,0.75,0.85,,High,"Stimulating has a positive sentiment as it implies something thought-provoking and engaging, it becomes more positive with the context of a project making the person think and dissect."
,Valuable,0.85,0.95,,High,Valuable is intrisically positive and the context of learning adds even more positivity.
12,Appealing,0.75,0.75,0.8,Medium,"Appealing is a positive sentiment word, but no context is given to adjust the score."
,Desirable,0.8,0.8,,Medium,"Desirable carries a positive sentiment, but there is no context to adjust the score."
,Exciting,0.8,0.8,,Medium,"Exciting is a clearly positive sentiment word, no context is provided to adjust the score."
,Fun,0.8,0.8,,Medium,Fun has a positive sentiment but no context is given.
,Valuable,0.85,0.85,,Medium,Valuable is a positive sentiment word but no context is given to adjust the score.
13,Collaborative,0.7,0.7,0.73,Medium,"Collaborative has a positive sentiment, but no context is given."
,Comprehensive,0.7,0.7,,Medium,Comprehensive carries a positive sentiment but no context is given.
,Fun,0.8,0.8,,Medium,Fun has a positive sentiment but without context it stays the same.
,Relevant,0.7,0.7,,Medium,Relevant is generally positive and reflects significance but without context it remains the same.
,Stimulating,0.75,0.75,,Medium,Stimulating has a positive sentiment and is associated with engaging or provoking thought. No context is given to adjust it.
14,Customizable,0.8,0.55,0.8,Medium,Customizable generally has a positive connotation but the explanation that rules have to followed makes the sentiment score less positive.
,Fresh,0.7,0.85,,High,"Fresh is a positive sentiment and in the context of an exciting and unique project, it becomes more positive."
,Fun,0.8,0.85,,High,"Fun is a positive sentiment word and in the context of competition, it is a bit more positive as it signifies enjoyment."
,Motivating,0.8,0.9,,High,"Motivating is a positive sentiment word, and the explanation of competition inducing students to do their best enhances the positive sentiment."
,Stimulating,0.75,0.85,,High,"Stimulating is a positive sentiment, and in the context of problem-solving and uniqueness assigned to the project, it becomes more positive."
15,Connected,0.65,0.65,0.6,Medium,"Connected has a positive sentiment, but no context is given."
,Customizable,0.8,0.8,,Medium,"Customizable carries a positive sentiment, but there is no context to adjust the score."
,Overwhelming,0.3,0.3,,Medium,"Overwhelming usually carries a negative sentiment, no context is given to adjust."
,Unpredictable,0.4,0.4,,Medium,"Unpredictable generally has a negative or neutral sentiment, and no context is given to adjust."
,Valuable,0.85,0.85,,Medium,"Valuable is considered positive, but no context is given for adjustment."
16,Complex,0.6,0.6,0.73,Medium,"Complex has a slightly positive sentiment because it implies intricacy, no context provided for adjustment."
,Fun,0.8,0.8,,Medium,Fun is positive but without a context it stays the same.
,Motivating,0.8,0.8,,Medium,"Motivating is positively viewed, but no context is given."
,Relevant,0.7,0.7,,Medium,Relevant has a positive connotation but without context for adjustment.
,Stimulating,0.75,0.75,,Medium,Stimulating implies something positive and engaging but without context it remains the same.
17,Accessible,0.8,0.85,0.86,High,Accessible carries a positive sentiment and the context that it serves as an introduction to larger projects makes it slightly more positive.
,Fun,0.8,0.85,,High,Fun is a positive sentiment word and the context that it is unique and interesting slightly increases its sentiment score.
,Relevant,0.7,0.75,,High,"Relevant is positively perceived and gaining an edge because of its association with larger, complex projects makes it slightly more positive."
,Stimulating,0.9,0.95,,High,"The word 'stimulating' suggests that the activity was engaging, interesting, and mentally invigorating, hence a high positive sentiment. Adjusted score accounting for the context of creating own work from assignment pieces."
,Valuable,0.8,0.9,,High,The word 'valuable' indicates positive sentiment as it reflects something of worth. Adjusted score is higher because it refers to the valuable learning experience the class provided.
18,Complex,0.6,0.7,0.81,Medium,'Complex' has a neutral sentiment depending on context; in this case it's slightly positive as it shows challenging but possible tasks. The adjustment reflects the speaker's satisfaction with the potential complexity.
,Connected,0.75,0.8,, Medium,"'Connected' is generally positive, indicating an established link. It's adjusted up as the speaker felt it easy to connect the elements."
,Exciting,0.9,0.95,,High,"'Exciting' is intensely positive, denoting enthusiasm and thrill. Its score is adjusted slightly higher due to the context of personal creation."
,Usable,0.7,0.75,,Medium,"'Usable' is a positive sentiment, indicating utility and convenience. The score is adjusted upward based on the speaker's understanding of the game."
,Valuable,0.8,0.85,,High,"'Valuable' is again positive, suggesting worth. Adjusted score is slightly increased due to the context of relevant job experience."
19,Appealing,0.8,0.85,0.9,High,'Appealing' has a positive sentiment as it indicates attractiveness. Adjusted score reflects the pleasure of gaming with coding skills learnt.
,Customizable,0.75,0.8,,Medium,"'Customizable' is positive, suggesting adaptability to personal needs or tastes. The adjustment reflects the unique strategic aspects of the game."
,Fun,0.95,1,,High,'Fun' indicates enjoyment and is highly positive. The score is adjusted to maximum based on the blend of enjoyment and learning.
,Motivating,0.85,0.9,,High,"'Motivating' is positive, suggesting inspiration and drive. The adjustment reflects competition-based motivation."
,Stimulating,0.9,0.95,,High,'Stimulating' maintains its high positive sentiment. The adjusted score reflects the intensive engagement and learning the project demanded.
20,Comprehensive,0.7,0.75,0.59,Medium,Using 'comprehensive' suggests thoroughness and is positive. The adjustment reflects applicability of various classes' knowledge.
,Intimidating,0.25,0.3,,Low,"'Intimidating' is negative, suggesting something daunting or challenging in a potentially overwhelming way. An upward adjustment for the excitement of challenge."
,Stimulating,0.9,0.95,,High,'Stimulating' holds strong to its positive sentiment. Adjusted score embeds the context of gaining new skills and understanding game development.
,Stressful,0.2,0.3,,Low,"'Stressful' is negative, indicating tension or anxiety. Adjusted score reflects the relief of problem-solving after a while."
,Unpredictable,0.5,0.65,,High,"Initially, 'Unpredictable' has a neutral sentiment of 0.50. However, in the context of the sentence expressing that the unpredictability is making things difficult, the score is adjusted to 0.65 indicating a slightly negative sentiment"
21,Comprehensive,0.8,0.8,0.74,High,"Given the word 'comprehensive' correlates with thoroughness and depth, it's initial and adjusted scores remain the same at 0.80 indicating a positive sentiment"
,Connected,0.7,0.7,,High,"'Connected' is usually viewed positively relating to unity and integration, its original and adjusted scores remain consistent at 0.70"
,Customizable,0.8,0.8,,Medium,"'Customizable' suggests flexibility and adaptability, retaining it's original and adjusted score at a positive 0.80"
,Fresh,0.7,0.7,,Medium,"'Fresh' signifies newness or refreshment, thus it maintains its original positive score of 0.70"
,Usable,0.7,0.7,,High,"Usable indicates functionality and ease, retaining its positive sentiment score of 0.70"
22,Complex,0.6,0.5,0.68,High,"Initially, 'Complex' might imply a challenge that is not inherently negative (0.60), but in the context of the difficulty to understand someone else's code, sentiment turns slightly negative (0.50)"
,Exciting,0.8,0.85,,High,"'Exciting' starts with a positive sentiment (0.80), and the context of seeing code behavior for the first time makes it even more positive (0.85)"
,Fun,0.85,0.9,,High,"With a positive sentiment at the outset (0.85), the context of competition and enjoyment with classmates strengthens the sentiment (0.90)"
,Overwhelming,0.4,0.3,,High,"'Overwhelming' begins with a negative sentiment (0.40), and the context of complex navigation of the project deepens this negative sentiment (0.30)"
,Useful,0.8,0.85,,High,"'Useful' begins with a positive sentiment (0.80), and understanding its significance in learning programming skills strengthens its positivity (0.85)"
23,Collaborative,0.85,0.9,0.69,Medium,"'Collaborative' starts with a positive sentiment (0.85), and being part of a group figuring out a system increases its positivity (0.90)"
,Complex,0.6,0.45,,High,"Although 'Complex' starts with a slightly positive sentiment (0.60), the context of using a larger codebase than before diminishes this sentiment (0.45)"
,Exciting,0.8,0.9,,High,"'Exciting', being a positive word (0.80), gets a further boost with the fun of watching the ships compete (0.90)"
,Frustrating,0.3,0.25,,High,"'Frustrating' starts with a negative sentiment (0.30), and dealing with a large codebase deepens this negativity (0.25)"
,Valuable,0.9,0.95,,High,"'Valuable', starts with a strong positive sentiment (0.90), and the context of applying it to the real world enhances its positivity (0.95)"
24,Appealing,0.8,0.8,0.81,High,"The word 'Appealing' suggests attractiveness and interest, keeping its positive score of 0.80"
,Attractive,0.8,0.8,,High,"'Attractive' indicates pleasantness and charm, maintaining its positive score of 0.80"
,Collaborative,0.85,0.85,,High,"'Collaborative' usually implies teamwork and a sense of community, retaining its positive score of 0.85"
,Exciting,0.8,0.8,,High,"'Exciting' often denotes enthusiasm, keeping its positive sentiment of 0.80"
,Stimulating,0.8,0.8,,High,"'Stimulating' suggests provoking thought or interest, maintaining its positive score of 0.80"
25,Complex,0.6,0.6,0.58,Medium,'Complex' conveys intricacy and depth holding its slightly positive score of 0.60
,Confusing,0.4,0.4,,High,'Confusing' infers difficulty in understanding keeping its negative score of 0.40
,Consistent,0.7,0.7,,High,"The term 'Consistent' implies orderliness and stability, preserving its positive score of 0.70"
,Overwhelming,0.4,0.4,,High,"'Overwhelming' suggests an excess or burden, maintaining its negative score of 0.40"
,Useful,0.8,0.8,,High,"'Useful' denotes practicality and efficiency, holding its positive score of 0.80"
26,Accessible,0.8,0.85,0.84,High,"'Accessible', a positive term (0.80), gets a boost with the context about everyone's ability to complete the project (0.85)"
,Appealing,0.8,0.85,,High,"'Appealing' starts with a positive sentiment (0.80), and the context of gamification intensifies its positivity (0.85)"
,Collaborative,0.75,0.85,,High,The sentiment score is high due to the positive nature of collaboration and teamwork. The adjusted score is higher given the context of working together in a positive academic setting.
,Desirable,0.7,0.8,,High,"Desirable score is high for its positive connotations, adjusted higher in light of the fun competiveness mentioned."
,Stimulating,0.75,0.85,,High,"With the need for creativity, 'stimulating' becomes even more positive, hence the high scores."
