ID,Term,Original Score,Adjusted Score,User-Based Averages,Confidence,Explanation,,
1,Accessible,0.7,0.85,0.71,High,Positive word suggesting ease of use or approachability.,,
,Fun,0.85,0.9,,High,Highly positive word indicating enjoyment and pleasure.,,
,Stimulating,0.8,0.9,,High,Positive word suggesting mental engagement and challenge.,,
,Straight forward,0.6,0.6,,Medium,"Neutral to slightly positive word,  indicating simplicity.",,
,Time-consuming,0.3,0.3,,High,Negative word indicating something that requires a lot of time.,,
2,Accessible,0.7,0.8,0.87,High,Adjusted to 0.80 due to the explanation emphasizing the familiarity and positive learning context.,,
,Appealing,0.75,0.85,,High,"Explanation shows it was enjoyable and a positive change,  thus a higher score.",,
,Fun,0.85,0.95,,High,"Explanation highlights autonomy and enjoyment,  increasing score.",,
,Inviting,0.75,0.85,,High,Positive word with explanation indicating engagement and deeper evaluation.,,
,Stimulating,0.8,0.9,,High,"Explanation highlights genuine interest and engagement,  increasing the score.",,
3,Customizable,0.7,0.8,0.72,High,Positive word indicating flexibility and creativity with the task.,,
,Personal,0.7,0.75,,Medium,"Explanation suggests a positive,  engaging and competitive aspect,  slightly increasing the score.",, slightly increasing the score.
,Stimulating,0.8,0.9,,High,Reaffirmation of the stimulating nature of the task increases engagement.,,
,Unconventional,0.65,0.75,,High,"Explanation indicates a positive deviation from the norm,  leading to higher engagement and fun.",,
,Unpredictable,0.3,0.4,,High,Reflects the uncertain nature of both spaceship design outcomes and student participation.,,
4,Accessible,0.7,0.75,0.87,High,"Shows it's manageable even though it requires effort,  indicating a generally positive sentiment.",,
,Comprehensive,0.85,0.85,,High,"Represents a thorough understanding,  a positive sentiment for educational contexts.",,
,Fun,0.95,0.95,,High,"Expresses high enjoyment,  a very positive sentiment.",,
,Useful,0.9,0.9,,High,"Indicates significant practical benefit,  a strong positive sentiment.",,
,Valuable,0.9,0.9,,High,"Synonymous with Useful,  denoting high practicality.",,
5,Appealing,0.8,0.8,0.64,High,"Attractiveness or interest,  generally positive.",,
,Customizable,0.75,0.75,,Medium,Positive sentiment due to flexibility.,,
