ID,Term,Original Score,Adjusted Score,User-Based Averages,Confidence,Explanation
1,Accessible,0.7,0.85,0.69,high,"The explanation suggests that the game-based environment made complex subjects easier to understand,  increasing the positive sentiment."
,Fun,0.9,0.9,,high,"The word itself evokes joy and enjoyment,  and it is supported by the explanations."
,Stimulating,0.8,0.9,,high,The task was found engaging and interesting which enhanced the educational experience significantly.
,Straight forward,0.6,0.6,,high,The word implies simplicity and ease of understanding which is neutral-positive but lacks emotional depth.
,Time-consuming,0.2,0.2,,high,"The word implies a task or activity takes up a significant amount of time,  typically with a negative connotation."
2,Accessible,0.7,0.85,0.88,high,"The explanation made it clear that the task was highly relatable and easy for students to engage with,  increasing the positive sentiment."
,Appealing,0.85,0.85,,high,The explanation supports that the unconventional nature was enjoyable which aligns with its high positive sentiment score.
,Fun,0.9,0.95,,high,The detailed explanation about autonomy and enjoyment indicates a very high level of positive sentiment.
,Inviting,0.75,0.85,,high,"The explanation suggests that the competitive spirit and deeper understanding were encouraged,  slightly increasing the positive sentiment."
,Stimulating,0.8,0.9,,high,"The genuine interest in the project made it more engaging,  which enhances the positive sentiment further."
3,Customizable,0.7,0.8,0.78,high,The high level of personalization and creativity involved in the task gives it a higher positive sentiment.
,Personal,0.8,0.85,,high,"The focus on individual strategies and critical thinking enhances the engagement,  increasing the positive sentiment."
,Stimulating,0.8,0.9,,high,"The requirement for innovative and out-of-the-box thinking increases the engaging nature of the task,  thus enhancing the sentiment."
,Unconventional,0.75,0.8,,high,"The assignment is described as inserting fun in an unexpected way into the curriculum,  which increases the positive sentiment slightly."
,Unpredictable,0.35,0.55,,Medium,"The initial score comes from the inherent uncertainty of 'unpredictable'; however,  in context,  it also suggests excitement and variability,  thereby slightly higher."
4,Accessible,0.65,0.7,0.81,High,"'Accessible' generally has a positive connotation,  implying ease of use; context emphasizes successful completion,  justifying a slight increase."
,Comprehensive,0.75,0.75,,High,"'Comprehensive' implies thoroughness and completeness,  which carries a consistently positive impression in the context provided."
,Fun,0.9,0.9,,High,'Fun' directly contributes to a high positive sentiment; the context doesn't shift this interpretation.
,Useful,0.85,0.85,,High,"'Useful' has strong positive connotations related to practicality and learning,  and the context supports this view."
,Valuable,0.85,0.85,,High,"'Valuable' shares traits with 'useful',  offering significant positive impact,  with no need for adjustment."
5,Appealing,0.8,0.8,0.64,High,'Appealing' inherently has a positive connotation of attractiveness and charm.
,Customizable,0.75,0.75,,High,"'Customizable' often means adaptable to user needs,  which is positively viewed in most scenarios."
,Fun,0.9,0.9,,High,'Fun' inherently provides a high positive satisfaction level.
,Simplistic,0.4,0.4,,Medium,"'Simplistic' often carries negative connotations of being overly simple or crude,  but context isn't provided."
,Unpredictable,0.35,0.35,,Medium,"Without context,  'unpredictable' maintains its neutral-to-slightly negative sentiment."
6,Complex,0.6,0.5,0.25,Medium,'Complex' can imply depth but also difficulty; the details about Eclipse issues and needed learning decrease its positivity.
,Frustrating,0.2,0.15,,High,"'Frustrating' is highly negative,  and the context reinforces additional difficulties."
,Hard to use,0.25,0.2,,High,"'Hard to use' inherently suggests significant negative usability issues,  context confirms this."
,Stressful,0.2,0.15,,High,"'Stressful' conveys a significant negative sentiment,  and the elaboration on reasons sustains it."
,Time-consuming,0.3,0.25,,High,"'Time-consuming' suggests a drain on resources,  with the context solidifying this negative sentiment."
7,Fun,0.9,0.9,0.87,High,"'Fun' again carries inherently positive tones,  confirmed by context about competition and enjoyment."
,Relevant,0.8,0.85,,High,"'Relevant' is positive,  meaning applicable; the context about course knowledge application strengthens this."
,Stimulating,0.85,0.9,,High,"'Stimulating' suggests a high positive intellectual engagement,  which context validates."
,Useful,0.85,0.85,,High,'Useful' remains positive in learning context and practical skills gained from the project.
,Valuable,0.85,0.85,,High,'Valuable' retains a strong positive sentiment due to lasting knowledge applicability for future endeavors.
8,Comprehensive,0.7,0.7,0.82,High,"The word 'comprehensive' generally indicates thoroughness, covering many details which is neutral-positive."
,Customizable,0.75,0.8,,High,"'Customizable' scores higher due to the explanation that highlights the ability to tailor choices, which is positive."
,Exciting,0.85,0.85,,High,'Exciting' evokes a strong positive emotion of interest and thrill.
,Fun,0.9,0.9,,High,"The word 'fun' directly relates to enjoyment, making it highly positive."
